,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3301,38302,Might & Magic: Clash of Heroes,PSN,Ubisoft  ,Capybara Games  ,N/A  ,8.4  ,N/A  ,,,,,,,12th Apr 11  ,
3302,38303,Might & Magic: Clash of Heroes,XBL,Ubisoft  ,Capybara Games  ,N/A  ,8.4  ,N/A  ,,,,,,,13th Apr 11  ,
3307,38308,Might and Magic IX,PC,3DO  ,"New World Computing, Inc.  ",N/A  ,5.5  ,N/A  ,,,,,,,29th Mar 02  ,
3311,38312,Might and Magic VIII: Day of the Destroyer,PC,3DO  ,"New World Computing, Inc.  ",N/A  ,6.3  ,N/A  ,,,,,,,29th Feb 00  ,
3322,38323,Mighty Flip Champs!,DSiW,WayForward  ,Way Forward Technologies  ,N/A  ,8.3  ,N/A  ,,,,,,,01st Jun 09  ,
3324,38325,Mighty Gunvolt,3DS,Inti Creates  ,Inti Creates  ,N/A  ,7.3  ,N/A  ,,,,,,,29th Aug 14  ,
3325,38326,Mighty Gunvolt Burst,NS,Inti Creates  ,Inti Creates  ,N/A  ,8.0  ,N/A  ,,,,,,,15th Jun 17  ,26th Nov 18
3356,38357,Mile High Pinball,NGage,Nokia  ,Bonus Mobile Entertainment  ,N/A  ,8.0  ,N/A  ,,,,,,,14th Nov 05  ,
3533,38534,MLB Bobblehead Pros,XBL,Konami  ,Konami  ,N/A  ,7.5  ,N/A  ,,,,,,,06th Jul 11  ,
3538,38539,MLB Slam!,NGage,THQ  ,THQ  ,N/A  ,2.8  ,N/A  ,,,,,,,31st Oct 08  ,
3574,38575,ModNation Racers,PSN,Sony Computer Entertainment  ,SCE San Diego Studio  ,N/A  ,7.7  ,N/A  ,,,,,,,01st Mar 11  ,03rd Feb 18
3606,38607,Mole Mania,GB,Nintendo  ,Pax Softnica  ,N/A  ,8.0  ,N/A  ,,,,,,,01st Feb 97  ,
